ID,gds,title,description,type,pubmed_id,gpl,platform_organism,platform_technology_type,feature_count,sample_organism,sample_type,channel_count,sample_count,value_type,gse,order,update_date,
2288,GDS3157,Inherited cryptorchidism model: fetal testis,"Analysis of testis of cryptorchid (orl) fetuses at at various gestational days up to GD19. The orl strain is at high risk for cryptorchidism, or undescended testis, one of the most common congenital anomalies in humans. Results provide insight into molecular mechanisms underlying cryptorchidism.",Expression profiling by array,18222913,GPL341,Rattus norvegicus,in situ oligonucleotide,15923,Rattus norvegicus,RNA,1,20,transformed count,GSE7755,none,2/4/08,
2289,GDS3158,Rheumatoid arthritis-related cartilage destruction model: chondrocytes,Analysis of chondrocytes treated with a supernatant from SV40 T-antigen immortalized human synovial fibroblasts derived from a patient with rheumatoid arthritis (RA). Results provide insight into the molecular mechanism underlying RA-related cartilage destruction.,Expression profiling by array,18205922,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,6,count,GSE10024,none,2/4/08,
2290,GDS3159,Reversine effect on myoblast cell line,Analysis of C2C12 myoblast cells treated with reversine. Reversine induces dedifferentiation of C2C12 myoblasts and the subsequent redifferentiation to become multipotent mesenchymal progenitor cells. Results provide insight into the molecular mechanisms underlying reversine's effects.,Expression profiling by array,19015271,GPL2995,Mus musculus,spotted oligonucleotide,33012,Mus musculus,RNA,1,4,count,GSE9754,none,1/2/09,
2291,GDS3160,Methotrexate resistant colon cancer cell line,Analysis of HT29 derived colon cancer cells resistant to the anticancer drug methotrexate (MTX). Results provide insight into the molecular mechanisms contributing to MTX resistance.,Expression profiling by array,17945194,GPL571,Homo sapiens,in situ oligonucleotide,22277,Homo sapiens,RNA,1,6,count,GSE9412,none,2/5/08,
2292,GDS3162,Cochlea response to mitochondrial DNA mutations,Analysis of cochleas of animals carrying a mutator allele of the mitochondrial (mt) Polg DNA polymerase. Accumulation of mtDNA mutations is associated with age-related hearing loss. Results provide insight into the role of mtDNA mutations in the pathogenesis of age-related hearing loss.,Expression profiling by array,17363114,GPL1261,Mus musculus,in situ oligonucleotide,45101,Mus musculus,RNA,1,10,count,GSE4866,none,3/7/08,
2293,GDS3163,Preovulatory ovaries: time course,"Analysis of fish preovulatory ovaries collected during late vitellogenesis, post-vitellogenesis and oocyte maturation. In fish, the post-vitellogenic period is critical for completion of the oogenetic process. Results provide insight into molecular events occurring during the preovulatory period.",Expression profiling by array,16872517,GPL3650,Oncorhynchus mykiss,spotted DNA/cDNA,9216,Oncorhynchus mykiss,RNA,1,13,transformed count,GSE4871,ordered,2/8/08,
2294,GDS3171,Transcription factor AP-2 gamma mutation effect on the embryonic skin,Analysis of back skin from embryonic day 16.5 animals bearing a mutation in transcription factor AP-2 gamma. The E16.5 AP-2 gamma mutants display abnormal epidermal stratification. Results provide insight into the role of AP-2 gamma in skin development.,Expression profiling by array,18353300,GPL1261,Mus musculus,in situ oligonucleotide,45101,Mus musculus,RNA,1,6,count,GSE10175,none,8/20/08,
2295,GDS3172,Treacher Collins Syndrome gene heterozygous mutation effect on embryos,Analysis of embryos heterozygous mutant for the Treacher Collins Syndrome (TCS) gene (TCOF1). TCS is a congenital disorder of craniofacial development arising from mutations in TCOF1. Results provide insight into the molecular pathogenesis of TCS.,Expression profiling by array,18246078,GPL1261,Mus musculus,in situ oligonucleotide,45101,Mus musculus,RNA,1,6,count,GSE10167,none,2/11/08,
2296,GDS3173,Homeodomain transcription factor EMX2 deficiency effect on the embryonic urogenital epithelium,Analysis of urogenital epithelia from embryonic day 10.5 animals lacking the homeodomain transcription factor EMX2. Emx2 null mutants show severe urogenital malformations and die soon after birth due to the absence of kidneys. Results provide insight into the role of EMX2 in urogenital development.,Expression profiling by array,,GPL1261,Mus musculus,in situ oligonucleotide,45101,Mus musculus,RNA,1,6,count,GSE10216,none,8/20/08,
2297,GDS3174,Pseudomonas aeruginosa non-mucoid and mucoid strains,"Analysis of a non-mucoid Pseudomonas aeruginosa strain and a mucoid strain from a cystic fibrosis (CF) patient. P. aeruginosa is an opportunistic pathogen associated with chronic pulmonary infections in CF patients. Non-mucoidity is associated with early stages of CF, mucoidity with late stages.",Expression profiling by array,18227268,GPL84,Pseudomonas aeruginosa,in situ oligonucleotide,5900,Pseudomonas aeruginosa,RNA,1,4,count,GSE9621,none,8/20/08,
2298,GDS3175,NF-kappaB and phosphotidylinositol 3-kinase inhibitor treated monocytes infected with the human cytomegalovirus,Analysis of monocytes treated with an NF-kappaB or a phosphatidylinositol 3-kinase (PI3K) inhibitor and then infected with the human cytomegalovirus (HCMV). Results provide insight into the role of NF-kappaB and PI3K in the activation of monocytes to a proinflammatory state after an HCMV infection.,Expression profiling by array,18003728,GPL8300,Homo sapiens,in situ oligonucleotide,12625,Homo sapiens,RNA,1,12,count,GSE9601,none,2/11/08,
2299,GDS3176,pRb p107 double deficient skin,"Analysis of skin grafts lacking pRb, p107, or both genes. pRb and p107 belong to the retinoblastoma family important in cell cycle regulation. Results provide insight into the role of p107 in epidermal tumor development when pRb is absent.",Expression profiling by array,17932945,GPL339,Mus musculus,in situ oligonucleotide,22690,Mus musculus,RNA,1,8,transformed count,GSE9567,none,2/12/08,
2300,GDS3177,Confluent and sub-confluent umbilical vein endothelial cell cultures,Analysis of umbilical vein endothelial cells grown to sub-confluency or confluency. Results provide insight into the molecular mechanisms underlying endothelial barrier formation.,Expression profiling by array,18065521,GPL4868,Homo sapiens,spotted oligonucleotide,18659,Homo sapiens,RNA,2,6,log10 ratio,GSE9334,none,2/12/08,
2301,GDS3178,Transcription factor Ctip2 deficiency effect on brain striata,"Analysis of brain striata from neonates lacking the transcription factor Ctip2. Ctip2 is expressed by striatal medium spiny neurons (MSN), which are critical in motor control and selectively lost in Huntington's disease. Results provide insight into the role of Ctip2 in MSN differentiation.",Expression profiling by array,18199763,GPL1261,Mus musculus,in situ oligonucleotide,45101,Mus musculus,RNA,1,8,transformed count,GSE9330,none,8/21/08,
2302,GDS3179,Lung metastatic breast cancer cell line response to metadherin depletion,"Analysis of LM2 breast cancer cells depleted for metadherin (MTDH), a cell surface protein in breast tumors that mediates lung metastasis. LM2 cells were grown alone or on a monolayer of lung microvascular endothelial cells. Results provide insight into molecular mechanisms underlying MTDH action.",Expression profiling by array,,GPL4133,Homo sapiens,in situ oligonucleotide,45220,Homo sapiens,RNA,2,12,log2 ratio,GSE9187,none,8/21/08,
2303,GDS3180,Estrogen effect on myometrium of ovariectomized females: time course,Analysis of myometria of ovariectomized animals following treatment with estradiol for 6 or 24 hours. Estrogen reduces the increased uterine sympathetic nerve density induced by ovariectomy. Results provide insight into the molecular mechanisms underlying estrogen-modulated sympathetic innervation.,Expression profiling by array,18627025,GPL85,Rattus norvegicus,in situ oligonucleotide,8799,Rattus norvegicus,RNA,1,4,count,GSE9117,none,8/21/08,
2304,GDS3181,Acute physiologic hyperinsulinemia effect on the skeletal muscle: time course,"Analysis of skeletal muscles from normal, healthy glucose-tolerant individuals exposed to acute physiological hyperinsulinemia for up to 4 hours. Results suggest a low-grade inflammatory response which may provide insight into the etiology of insulin resistance in type 2 diabetes and obesity.",Expression profiling by array,18334611,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,36,transformed count,GSE9105,none,8/22/08,
2305,GDS3182,Young and aged skeletal muscles response to long-term vigorous endurance exercise,Analysis of skeletal muscles from young and aged individuals undergoing vigorous endurance exercise training for over 4 years. Results provide insight into the effects of endurance exercise on age-related insulin resistance and mitochondrial dysfunction.,Expression profiling by array,,GPL570,Homo sapiens,in situ oligonucleotide,54675,Homo sapiens,RNA,1,37,count,GSE9103,none,8/22/08,
2306,GDS3183,Chemokine receptor CXCR7 deficiency effect on neonatal semilunar valves,Analysis of semilunar valves from neonates lacking the chemokine receptor CXCR7. Most animals lacking CXCR7 die at birth with ventricular septal defects and semilunar heart valve malformation. Results provide insight into the role of CXCR7 in heart valve development.,Expression profiling by array,17804806,GPL1261,Mus musculus,in situ oligonucleotide,45101,Mus musculus,RNA,1,4,count,GSE8710,none,2/12/08,
2307,GDS3184,Methoxyacetic acid effect on testis: time course,"Analysis of testes of males exposed to methoxyacetic acid (MAA) for up to 24 hours. MAA is an in vivo metabolite of ethylene glycol monomethoxy ether, a solvent in industrial and household applications. Results provide insight into the mechanisms underlying the disruption of spermatogenesis by MAA.",Expression profiling by array,18199887,GPL890,Rattus norvegicus,in situ oligonucleotide,22575,Rattus norvegicus,RNA,2,47,log2 ratio,GSE10032,none,3/7/08,
2308,GDS3186,Photoreceptor degeneration model: retina,Analysis of retinas from adult protocadherin 21 (prCAD) mutants. The prCAD mutant is a model for inherited photoreceptor degeneration. prCAD is required for the assembly and integrity of the photoreceptor outer segment. Results compared with those from light damaged retinas (GDS3187).,Expression profiling by array,15872101,GPL1261,Mus musculus,in situ oligonucleotide,45101,Mus musculus,RNA,1,6,transformed count,GSE10535,none,3/4/08,
2309,GDS3187,Retina response to acute visible light exposure,"Analysis of retinas from dark adapted animals following acute exposure to visible light to induce photoreceptor death. Results compared with those from retinas of prCAD mutants, a model for photoreceptor degeneration (GDS3186).",Expression profiling by array,15872101,GPL1261,Mus musculus,in situ oligonucleotide,45101,Mus musculus,RNA,1,6,transformed count,GSE10528,none,3/4/08,
2310,GDS3188,Leaf response to paraquat: time course,"Analysis of Ler ecotype rosette leaves for up to 4 hours following treatment with paraquat. Paraquat is an herbicide that acts as a terminal oxidant of photosystem I. In light paraquat reduces oxygen to the superoxide radical, which subsequently dismutates to hydrogen peroxide.",Expression profiling by array,14508004,GPL198,Arabidopsis thaliana,in situ oligonucleotide,22810,Arabidopsis thaliana,RNA,1,6,count,GSE10464,none,3/4/08,
2311,GDS3189,Follicle stimulating hormone suppression effect on the maturing testis,Analysis of maturing testes from animals suppressed for follicle stimulating hormone (FSH) activity from age 14 to 18 days.  FSH activity suppressed by treatment with an antibody to FSH (FSHAb). Results provide insight into the role of FSH in Sertoli and male germ cell development.,Expression profiling by array,16135663,GPL85,Rattus norvegicus,in situ oligonucleotide,8799,Rattus norvegicus,RNA,1,4,count,GSE10293,none,9/11/08,
2312,GDS3190,Macrophage response to lipopolysaccharide and interleukin-10 co-treatment: time course,Analysis of interleukin-10 (IL-10)-deficient macrophages at various time points up to 30 minutes following co-stimulation with lipopolysaccharide (LPS) and IL-10. LPS elicits an inflammatory response. Results provide insight into molecular mechanisms underlying the anti-inflammatory effect of IL-10.,Expression profiling by array,18025162,GPL1261,Mus musculus,in situ oligonucleotide,45101,Mus musculus,RNA,1,18,count,GSE9509,none,9/23/08,
2313,GDS3191,Natural killer cell response to interleukin-2 treatment: time course,Analysis of resting natural killer (NK) cells and NK cells activated with interleukin-2 (IL-2) for up to 24 hours.  The effector function of NK cells is enhanced by cytokines such as IL-2. Results provide insight into the molecular events in NK cell activation.,Expression profiling by array,17623099,GPL570,Homo sapiens,in situ oligonucleotide,54675,Homo sapiens,RNA,1,6,count,GSE8059,none,9/23/08,
2314,GDS3192,Rheumatoid arthritis: synovial macrophages,Analysis of synovial fluid macrophages from 5 patients with rheumatoid arthritis (RA). The chronic inflammation and progressive joint destruction observed in RA are mediated in part by macrophages. Results provide insight into the molecular mechanisms underlying RA pathogenesis.,Expression profiling by array,,GPL8300,Homo sapiens,in situ oligonucleotide,12625,Homo sapiens,RNA,1,8,count,GSE10500,none,10/2/08,
2315,GDS3193,Monocyte-derived dendritic cell response to VAF347,Analysis of immature monocyte-derived dendritic cells following activation with anti-CD40 antibodies for 8 hours in the presence of VAF347. VAF347 is a low molecular weight compound that inhibits allergic lung inflammation in vivo. Results provide insight into the mechanism of action of VAF347.,Expression profiling by array,18270326,GPL570,Homo sapiens,in situ oligonucleotide,54675,Homo sapiens,RNA,1,4,count,GSE10463,none,3/5/08,
2316,GDS3194,Medroxyprogesterone acetate effect on the pregnant cervix,Analysis of embryonic day 15 (E15) pregnant cervices treated with medroxyprogesterone acetate (MPA). The use of progestational agents such as MPA reduces the incidence of pre-term birth. Results provide insight into the molecular mechanisms underlying this effect.,Expression profiling by array,18313454,GPL1261,Mus musculus,in situ oligonucleotide,45101,Mus musculus,RNA,1,12,count,GSE10392,none,10/2/08,
2317,GDS3195,Hexose-6-phosphate dehydrogenase deficiency effect on skeletal muscles,Analysis of skeletal muscles from animals lacking hexose-6-phosphate dehydrogenase (H6PD). H6PD null animals develop severe skeletal myopathy characterized by switching of Type II to Type I fibers. Results provide insight into the molecular basis of the myopathy induced by the absence of H6PD.,Expression profiling by array,18222920,GPL1261,Mus musculus,in situ oligonucleotide,45101,Mus musculus,RNA,1,12,transformed count,GSE10347,none,7/31/08,
2318,GDS3196,Non-thermal low intensity pulsed ultrasound effect on leukemia cell line,Analysis of leukemia U937 cells exposed to non-thermal low intensity pulsed ultrasound (LIPUS) for 6 hours to induce apoptosis. Results provide insight into the molecular mechanisms underlying the apoptotic response to nonthermal LIPUS.,Expression profiling by array,18571840,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,4,count,GSE10212,none,7/31/08,
2319,GDS3197,Transcriptional coactivator PGC-1beta hypomorphic mutation effect on the liver,Analysis of livers of animals bearing a hypomorphic PGC-1beta mutation. PGC-1beta is a transcriptional coactivator that stimulates mitochondrial biogenesis and respiration of cells. Results provide insight into the function of PGC-1beta in the liver.,Expression profiling by array,17141629,GPL1261,Mus musculus,in situ oligonucleotide,45101,Mus musculus,RNA,1,6,count,GSE6210,none,3/14/08,
2320,GDS3198,Abf1 DNA-binding mutant,Analysis of temperature sensitive Abf1 mutant cells subjected to a temperature of 37 degrees C to dissociate the mutant protein from its DNA binding sites. Results provide insight into the contribution of this general regulatory factor to transcription genome-wide.,Expression profiling by array,17158163,GPL90,Saccharomyces cerevisiae,in situ oligonucleotide,9335,Saccharomyces cerevisiae,RNA,1,6,count,GSE6073,none,3/19/08,
2321,GDS3199,Anti-Mullerian hormone effect on ovary,Analysis of postnatal day 4 ovaries cultured with anti-Mullerian hormone (AMH) for 10 days. AMH is an extracellular signaling molecule that inhibits the primordial to primary follicle transition in ovary. Results provide insight into molecular mechanisms underlying primordial follicle development.,Expression profiling by array,17660231,GPL1355,Rattus norvegicus,in situ oligonucleotide,31099,Rattus norvegicus,RNA,1,4,count,GSE10557,none,4/11/08,
2322,GDS3203,Monocyte to macrophage differentiation,"Analysis of monocytes following up to 168 hours of adherence-induced differentiation. Monocytes differentiate into macrophages, which are critical in the pathogenesis of many diseases. Results provide insight into the molecular mechanisms underlying monocyte to macrophage differentiation.",Expression profiling by array,18276018,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,9,count,GSE8286,none,5/6/08,
2323,GDS3207,Chronic loneliness effect on peripheral blood leukocytes,Analysis of leukocytes from individuals experiencing chronically high levels of subjective social isolation (loneliness). Social environment is known to influence human health. Results provide insight into transcriptional alterations in the immune system induced by chronic social isolation.,Expression profiling by array,17854483,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,14,transformed count,GSE7148,none,5/1/08,
2324,GDS3209,Integrin alpha7 overexpression effect on skeletal muscle,Analysis of skeletal muscle from transgenic females overexpressing integrin alpha7. Enhancement of alpha7 integrin levels alleviates pathology in a Duchenne muscular dystrophy murine model. Results provide insight into effects of increased integrin alpha7 on skeletal muscle transcription in vivo.,Expression profiling by array,18045857,GPL1261,Mus musculus,in situ oligonucleotide,45101,Mus musculus,RNA,1,6,count,GSE8313,none,4/24/08,
2325,GDS3210,Airway epithelial cells response to Sendai virus infection in vitro,"Analysis of primary culture tracheal epithelial cells following infection with Sendai virus (SeV), a common paramyxovirus.Respiratory paramyxoviral infections are a leading cause of serious respiratory disease. Results provide insight into the role of epithelial cells in antiviral defense.",Expression profiling by array,18292557,GPL81,Mus musculus,in situ oligonucleotide,12488,Mus musculus,RNA,1,10,transformed count,GSE10211,none,5/6/08,
2326,GDS3211,Gingival epithelial cell line response to oral pathogen infections,Analysis of gingival epithelial HIGK cells infected with Aggregatibacter actinomycetemcomitans or Porphyromonas gingivalis. A. actinomycetemcomitans and P. gingivalis cause periodontal infections. Results provide insight into differences in epithelial cell responses to these pathogens.,Expression profiling by array,15888084,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,12,count,GSE9723,none,5/6/08,
2327,GDS3215,13-cis retinoic acid effect on SEB-1 sebocyte cell line,"Analysis of cultured sebaceous gland cells (SEB-1 sebocytes) treated with 13-cis retinoic acid (13-cis RA, isotretinoin), a potent acne treatment agent that reduces the size and secretion of sebaceous glands. Results provide insight into the molecular basis for 13-cis RA's acne-clearing effect.",Expression profiling by array,18317594,GPL8300,Homo sapiens,in situ oligonucleotide,12625,Homo sapiens,RNA,1,6,transformed count,GSE10432,none,5/15/08,
2328,GDS3216,Whole seedling roots response to salinity stress: time course,Analysis of whole roots from 5-day-old Columbia seedlings subjected to 140 mM NaCl for up to 32 hours. High salinity is an important agricultural contaminant with complex effects on root physiology. Results provide insight into molecular mechanisms underlying the salt stress response in whole root.,Expression profiling by array,18436742,GPL198,Arabidopsis thaliana,in situ oligonucleotide,22810,Arabidopsis thaliana,RNA,1,12,count,GSE7642,none,6/2/08,
2329,GDS3217,Estradiol effect on breast cancer cell line expressing estrogen receptor: time course,"Analysis of estrogen receptor (ER)-positive MCF7 breast cancer cells up to 48 hours following treatment with estradiol (E2). ERs facilitate the transcriptional effects of hormones. These results, together with ChIP-PET results, suggest potential correlations between ER binding and gene regulation.",Expression profiling by array,17542648,GPL570,Homo sapiens,in situ oligonucleotide,54675,Homo sapiens,RNA,1,18,count,GSE11352,none,6/3/08,
2330,GDS3218,13-cis retinoic acid effect on skin,"Analysis of upper back skin biopsies of acne patients treated with 13-cis retinoic acid (13-cis RA, isotretinoin), a potent acne treatment agent that reduces the size and secretion of sebaceous glands. Results provide insight into the molecular basis for 13-cis RA's acne-clearing effect.",Expression profiling by array,18317594,GPL571,Homo sapiens,in situ oligonucleotide,22277,Homo sapiens,RNA,1,12,transformed count,GSE10433,none,5/15/08,
2331,GDS3220,YAP overexpression effect on MCF10A mammary epithelial cell line,Analysis of MCF10A mammary epithelial cells overexpressing the transcriptional coactivator YAP.  The Hippo pathway impinges on YAP in mammals to coordinate cell proliferation and apoptosis. Results provide insight into molecular components of the Hippo pathway in mammalian cells.,Expression profiling by array,18413746,GPL570,Homo sapiens,in situ oligonucleotide,54675,Homo sapiens,RNA,1,4,count,GSE10196,none,6/3/08,
2332,GDS3221,Liver response to human and chimpanzee diets,Analysis of livers from NMR-1 females fed human and chimpanzee diets for 2 weeks. Human diet is markedly different from the diets of closely related primate species.  Results provide insight into the influence of different diets on gene expression patterns.,Expression profiling by array,18231591,GPL1261,Mus musculus,in situ oligonucleotide,45101,Mus musculus,RNA,1,24,transformed count,GSE6297,none,6/6/08,
2333,GDS3222,Cytotoxic T cell line response to interleukin-2: time course,Analysis of cytotoxic T cell line (CTLL-2) at various time points up to 24 hours following interleukin-2 cytokine (IL-2) stimulation. IL-2 regulates T cell proliferation and differentiation. Results provide insight into the expression patterns of IL-2 responsive genes.,Expression profiling by array,18184039,GPL1261,Mus musculus,in situ oligonucleotide,45101,Mus musculus,RNA,1,43,count,GSE6085,none,6/4/08,
2334,GDS3223,Interleukin-13 effect on esophageal epithelial cells from eosinophilic esophagitis patients,Analysis of primary esophageal epithelial cells from eosinophilic esophagitis (EE) patients following 100ng/mL interleukin-13 (IL-13) stimulation. The T-helper type 2 cytokine IL-13 plays a pivotal role in eosinophilic inflammation. Results provide insight into the role of IL-13 in EE pathogenesis.,Expression profiling by array,18073124,GPL570,Homo sapiens,in situ oligonucleotide,54675,Homo sapiens,RNA,1,6,count,GSE8853,none,6/6/08,
2335,GDS3224,Heart left ventricle and diaphragm comparison,Analysis of normal heart left ventricle and diaphragm of young-adult Sprague Dawley males. Concurrent rhythmic contractions of the diaphragm and heart are needed to sustain life. Results provide insight into transcriptional strategies for ensuring long-term energy supplies in these two muscles.,Expression profiling by array,18207466,GPL341,Rattus norvegicus,in situ oligonucleotide,15923,Rattus norvegicus,RNA,1,12,count,GSE6943,none,6/6/08,
2336,GDS3225,Selenate effect on roots,"Analysis of roots from 10-day-old plants grown with selenate, the major form of bioavailable selenium (Se) in soil. Plants have the capacity to attenuate the toxic effects of Se.  Results provide insight into molecular mechanisms underlying Se-stress responses and Se tolerance mechanisms in plants.",Expression profiling by array,18251864,GPL198,Arabidopsis thaliana,in situ oligonucleotide,22810,Arabidopsis thaliana,RNA,1,4,count,GSE9311,none,6/11/08,
2337,GDS3226,Interleukin-22 effect on colon cultures,"Analysis of C57BL/6 colon cultures treated with 10 ng/ml of interleukin-22 (IL-22) for 24 hours. IL-22, a member of the IL-10 family of cytokines, can induce a marked antimicrobial response in vitro. Results provide insight into the molecular basis of IL-22 induced host defense mechanisms.",Expression profiling by array,18264109,GPL2872,Mus musculus,in situ oligonucleotide,44290,Mus musculus,RNA,2,6,log10 ratio,GSE10010,none,6/13/08,
2338,GDS3227,Social isolation stress-induced aggression model,Analysis of heads of Canton-S males subjected to social isolation (single-housed). Social experience with conspecifics is an environmental influence on aggressiveness common to many species. Results provide insight into the molecular basis of the effect of social experience on aggressiveness.,Expression profiling by array,18408154,GPL1322,Drosophila melanogaster,in situ oligonucleotide,18952,Drosophila melanogaster,RNA,1,6,count,GSE6994,none,7/30/08,
2339,GDS3228,Apelin knockout effect on the heart,Analysis of hearts from Apelin knockouts (KO) subjected to pressure overload by aortic banding (AB). Banded Apelin KOs develop severe and progressive heart failure. Results provide insight into the role of Apelin in maintaining cardiovascular homeostasis on pressure overload.,Expression profiling by array,17673668,GPL1261,Mus musculus,in situ oligonucleotide,45101,Mus musculus,RNA,1,12,count,GSE7781,none,7/31/08,
2340,GDS3229,Transgenic and conventional cultivar comparison,"Analysis of the first trifoliate leaves of two transgenic and three conventional soybean cultivars. To date, the possibility that transgene expression could lead to unintended effects remains a debated issue. Results provide insight into the overall molecular changes in transgenic soybean cultivars.",Expression profiling by array,18433101,GPL4592,Glycine max,in situ oligonucleotide,61170,Glycine max,RNA,1,25,transformed count,GSE9374,none,6/25/08,
2341,GDS3230,Fungal pathogen Phakopsora pachyrhizi effect on leaves: time course,"Analysis of leaves up to 48 hours post-inoculation with Phakopsora pachyrhizi isolates, Hawaii 94-1 (HW94-1) and Taiwan 72-1 (TW72-1). HW94-1 produces a resistant reaction in the host, TW72-1 a susceptible reaction. Results provide insight into the molecular basis of resistance to a fungal pathogen.",Expression profiling by array,17906332,GPL4592,Glycine max,in situ oligonucleotide,61170,Glycine max,RNA,1,25,transformed count,GSE8432,none,6/25/08,
2342,GDS3231,Lipochitooligosaccharide effect on first trifoliolate leaf,"Analysis of first trifoliolate leaf from cv. OAC Bayfield plants treated with Bradyrhizobium japonicum lipochitooligosaccharide (LCO, Nod factor).  Foliar application of LCO can induce changes in hormone level and enzymatic activity. Results provide insight into the molecular basis of these effects.",Expression profiling by array,,GPL4592,Glycine max,in situ oligonucleotide,61170,Glycine max,RNA,1,6,transformed count,GSE9730,none,6/25/08,
2343,GDS3232,Brain response to human and chimpanzee diets,Analysis of brains from NMR1 females fed human and chimpanzee diets for 2 weeks. The human diet is markedly different from the diets of closely related primate species.  Results provide insight into the influence of different diets on gene expression patterns in brain.,Expression profiling by array,18231591,GPL1261,Mus musculus,in situ oligonucleotide,45101,Mus musculus,RNA,1,24,transformed count,GSE6285,none,6/3/08,
2344,GDS3233,Cervical cancer tumorigenesis,Analysis of cervical cancer (CC) primary tumors and cell lines. Chromosomal amplification is a common cellular mechanism of gene activation in tumorigenesis; chromosome 20 is a commonly gained chromosome in CC. Results provide insight into the potential role of chromosome 20 gain in CC progression.,Expression profiling by array,18506748,GPL96,Homo sapiens,in situ oligonucleotide,22283,Homo sapiens,RNA,1,61,count,GSE9750,none,6/4/08,
2345,GDS3234,Leaf response to fungal pathogen Phakopsora pachyrhizi,"Analysis of 3-week-old cv. 5601 T plants (V2 growth stage) inoculated with Phakopsora pachyrhizi. This fungal pathogen is the causal agent of Asian soybean rust (ASR), a potentially devastating disease affecting crops. Results provide insight into the molecular basis of the host response to ASR.",Expression profiling by array,17318271,GPL4592,Glycine max,in situ oligonucleotide,61170,Glycine max,RNA,1,6,count,GSE7108,none,6/25/08,
2346,GDS3235,Early maturation-stage seed compartments,Analysis of LCM-captured compartments from seeds containing early maturation-stage embryos. Whole seeds at early maturation-stage also examined. The various compartments play distinct roles in seed formation. Results provide insight into the molecular mechanisms involved in seed development.,Expression profiling by array,,GPL4592,Glycine max,in situ oligonucleotide,61170,Glycine max,RNA,1,34,count,GSE8112,none,7/28/08,
2347,GDS3238,Globular-stage seed compartments,Analysis of LCM-captured compartments from seeds containing globular-stage embryos. Whole seeds at globular-stage and young trifoliate leaves also examined. The various compartments play distinct roles in seed formation. Results provide insight into molecular mechanisms involved in seed development.,Expression profiling by array,,GPL4592,Glycine max,in situ oligonucleotide,61170,Glycine max,RNA,1,28,count,GSE6414,none,7/28/08,
2348,GDS3239,Heart-stage seed compartments,Analysis of LCM-captured compartments from seeds containing heart-stage embryos. Whole seeds at heart-stage and young trifoliate leaves also examined. The various compartments play distinct roles in seed formation. Results provide insight into the molecular mechanisms involved in seed development.,Expression profiling by array,,GPL4592,Glycine max,in situ oligonucleotide,61170,Glycine max,RNA,1,23,count,GSE7511,none,7/28/08,
2349,GDS3240,Scarlet Runner Bean globular-stage embryo,Analysis of LCM-captured globular-stage embryo regions (embryo proper and suspensor). The suspensor helps to transport materials between embryo and seed coat. Results provide insight into the molecular mechanisms involved in early embryo development.,Expression profiling by array,,GPL4592,Glycine max,in situ oligonucleotide,61170,Phaseolus coccineus,RNA,1,4,count,GSE7592,none,7/28/08,
2350,GDS3241,Cotyledon-stage seed compartments,Analysis of LCM-captured compartments from cv. Asgrow A3237 seeds containing cotyledon-stage embryos. Whole seeds at cotyledon-stage also examined. The various compartments play distinct roles in seed formation. Results provide insight into the molecular mechanisms involved in seed development.,Expression profiling by array,,GPL4592,Glycine max,in situ oligonucleotide,61170,Glycine max,RNA,1,18,count,GSE7881,none,7/28/08,
2351,GDS3242,Effect of host quantitative resistance during Phytophthora sojae infection: time course,"Analysis of hypocotyls from 8 cultivars, varying in quantitative resistance, up to 120 hours following infection with oomycete pathogen Phytophthora sojae. Mock inoculations spiked with 2-16% P. sojae RNA. Results identify host and pathogen genes differentially expressed during P. sojae infection.",Expression profiling by array,,GPL4592,Glycine max,in situ oligonucleotide,61170,"Glycine max,Phytophthora sojae",RNA,1,128,transformed count,GSE7124,none,6/26/08,
2352,GDS3243,Selenate effect on shoots,"Analysis of shoots from 10-day-old plants grown with selenate, the major form of bioavailable selenium (Se) in soil. Plants have the capacity to attenuate the toxic effects of Se.  Results provide insight into molecular mechanisms underlying Se-stress responses and Se tolerance mechanisms in plants.",Expression profiling by array,18251864,GPL198,Arabidopsis thaliana,in situ oligonucleotide,22810,Arabidopsis thaliana,RNA,1,4,count,GSE9311,none,6/11/08,
2353,GDS3244,Phytophthora sojae infection effect on hypocotyl sections: time course,"Analysis of various hypocotyl sections from resistant and susceptible cultivars up to 120 hours following infection with Phytophthora sojae, an oomycete pathogen that causes root rot. Results provide insight into the molecular basis of the different host responses to an oomycete pathogen.",Expression profiling by array,,GPL4592,Glycine max,in situ oligonucleotide,61170,Glycine max,RNA,1,160,transformed count,GSE9687,none,6/27/08,
